"Day","Hr","Temp","KWH"
2014-12-26,18,44.96,"Above_Normal"
2014-12-26,19,44.06,"Above_Normal"
2014-12-26,20,42.98,"Above_Normal"
2014-12-26,21,42.98,"Above_Normal"
2014-12-26,22,42.08,"Above_Normal"
2014-12-26,23,41,"Above_Normal"
2014-12-27,0,39.92,"Above_Normal"
2014-12-27,1,39.92,"Above_Normal"
2014-12-27,2,41,"Above_Normal"
2014-12-27,3,41,"Above_Normal"
2014-12-27,4,39.92,"Above_Normal"
2014-12-27,5,41,"Above_Normal"
2014-12-27,6,39.92,"Above_Normal"
2014-12-27,7,41,"Above_Normal"
2014-12-27,8,42.98,"Above_Normal"
2014-12-27,9,44.96,"Above_Normal"
2014-12-27,10,48.02,"Above_Normal"
2014-12-27,11,50,"Above_Normal"
2014-12-27,12,51.98,"Above_Normal"
2014-12-27,13,51.8,"Above_Normal"
2014-12-27,14,51.98,"Above_Normal"
2014-12-27,15,50,"Above_Normal"
2014-12-27,16,48.02,"Above_Normal"
2014-12-27,17,46.94,"Above_Normal"
2014-12-27,18,46.04,"Above_Normal"
2014-12-27,19,44.96,"Above_Normal"
2014-12-27,20,44.06,"Above_Normal"
2014-12-27,21,42.98,"Above_Normal"
